,BRND_CD,MKT_LN_CD,stagnate,return,first_buy,rebuy,sales_total
123,BAW,004,1,0,0,0,0.0
124,BAW,031,37,4,77,69,28.436480499999984
125,BAW,049,35,5,57,56,51.83437000000009
126,BAW,051,27,1,65,104,375.5
127,BAW,095,1,0,0,0,0.0
128,BB4,049,0,0,13,2,4.000080000000001
129,BB4,051,0,0,1,0,0.5
130,BB4,129,1,0,0,0,0.0
131,BBE,046,0,0,1,0,0.0665323
132,BBE,049,0,1,1,0,0.0
133,BBH,004,29,0,123,94,51.45965830000001
134,BBH,049,16,2,52,32,29.000579999999985
135,BBH,051,12,2,41,53,205.0
136,BBJ,051,0,0,9,15,107.0
137,BBL,031,3,0,3,6,3.556451
138,BBL,049,0,0,13,2,4.833430000000001
139,BBL,051,3,1,13,20,105.5
140,BBL,285,1,0,3,1,0.7258064
141,BBP,004,3,0,4,1,0.5806449
142,BBP,049,6,0,0,3,0.66668
143,BBP,051,1,0,8,0,4.5
144,BBR,004,1,1,0,1,0.1451612
145,BBR,049,0,0,11,2,3.5000699999999996
146,BBS,004,1,0,0,0,0.0
147,BBW,004,11,1,141,25,21.7741858
148,BBW,049,14,0,172,36,57.66782000000026
149,BBW,051,10,0,205,89,287.0
150,BCA,004,739,15,1743,2001,744.5863391000132
151,BCF,137,0,0,1,0,0.8516129
152,BCK,003,0,0,1,1,0.21774179999999999
153,BCK,004,1,0,0,1,0.21774179999999999
154,BCK,120,1,0,0,0,0.0
155,BCL,003,0,0,0,2,0.9435483
156,BCO,324,32,0,66,58,33.6441413
157,BCX,003,2,0,32,6,4.064514300000002
158,BCX,004,54,0,278,53,41.87901699999999
159,BCX,049,22,0,397,95,131.8359700000003
160,BCX,051,18,0,362,172,563.5
161,BCX,158,3,0,29,4,8.9493455
162,BDC,040,0,1,0,0,-0.3870968
163,BDD,095,191,0,575,594,304.73389130000254
164,BDD,137,44,5,91,315,696.1936120000006
165,BDF,004,9,8,9,2,0.7499997
166,BDF,324,6,1,4,1,0.567036
167,BDL,003,1132,23,2087,14491,51231.49760439905
168,BDL,004,4747,96,7002,54314,116150.50955129939
169,BDL,005,3058,75,4162,45697,185291.95607211482
170,BDL,006,90,6,130,497,861.0483189000033
171,BDL,017,29,0,56,205,416.22582110000053
172,BDL,019,20,2,35,251,753.6290349999999
173,BDL,020,5,2,14,85,195.00000009999997
174,BDL,021,0,0,2,4,1.3306456
175,BDL,025,674,65,943,6125,13359.4046098999
176,BDL,028,181,16,334,1156,2463.4353949000065
177,BDL,029,823,113,1460,6718,24028.825970800015
178,BDL,031,155,18,274,1198,1757.2861362000046
179,BDL,040,260,44,398,2369,8032.294643099987
180,BDL,042,32,1,44,228,564.6925183000006
181,BDL,048,325,5,622,4618,23617.040541200015
182,BDL,049,275,12,610,2258,4761.928570000012
183,BDL,051,3004,138,4338,63897,472646.5
184,BDL,052,641,26,1451,2682,4620.0
185,BDL,056,499,51,732,3230,10591.811117400064
186,BDL,065,58,19,93,351,2190.258102500001
187,BDL,067,211,34,247,2224,6328.557520400017
188,BDL,073,209,8,404,3504,17723.649258800036
189,BDL,077,1,0,0,0,0.0
190,BDL,095,56,6,68,354,1501.0645543000032
191,BDL,101,1137,24,2064,14695,65713.12052319958
192,BDL,107,0,0,1,14,59.225807700000004
193,BDL,112,324,12,490,1749,8733.387296899986
194,BDL,116,172,3,274,1222,2455.25
195,BDL,121,55,3,78,195,983.6491892999996
196,BDL,123,100,12,163,718,2408.935567000006
197,BDL,163,25,4,32,159,713.3951484000002
198,BDL,225,18,2,31,146,385.46371270000014
199,BDL,275,25,0,35,104,659.6129135000002
